id,url,URL-similar(official store),URL-single
40,https://shopee.sg/Glaceau-Power-C-Dragonfruit-Vitamin-Water-(12-x-500ml)-Case-i.91799978.3134463716,https://shopee.sg/Glaceau-Vitamin-Water-Power-C-(12-x-500ml)-Case-i.881762950.20754680533,
129,--,--,
41,https://shopee.sg/Glaceau-Essential-Orange-Vitamin-Water-(12-x-500ml)-Case-(Halal)-i.91799978.7523353603,--,
112,--,--,
113,--,--,
114,--,--,
42,https://shopee.sg/-Bundle-of-24-100-Plus-Regular-325ML-(Halal)-i.91799978.2913273888,--,
16,--,--,
44,https://shopee.sg/100PLUS-ORIGINAL-PET-1.5LX12-(Bundle-of-12)-(Halal)-i.91799978.11922229631,--,
18,--,--,
142,--,--,
143,--,--,
149,--,--,
150,--,--,
151,--,--,
45,https://shopee.sg/-Bundle-of-24-100-Plus-Zero-325ML-(Halal)-i.91799978.2913308292,--,
70,--,--,
51,https://shopee.sg/F-N-Soda-Water-24-X-325-Ml-i.91799978.2913322039,--,
134,--,--,
135,--,--,
136,--,--,
137,--,--,
67,https://shopee.sg/MILO-Can-Original-6x240ml-i.91799978.7634800819?sp_atk=f81ff606-f633-44b2-acbd-4bc57035d734&xptdk=f81ff606-f633-44b2-acbd-4bc57035d734,--,
89,--,--,
68,https://shopee.sg/NESCAFE-Original-Can-4(6x240ml)-Carton-(5-1)-i.91799978.4334802037,--,
69,https://shopee.sg/Nescafe-Latte-Can-4(6X240Ml)-Carton-(5-1)-i.91799978.4334802046,--,
71,https://shopee.sg/HSC-Sparkling-Oldenlandia-Water-325ml-x-24-cans-i.260411120.25341097196?sp_atk=cc892b2e-0548-4746-b3c2-e4da2fc1df9a&xptdk=cc892b2e-0548-4746-b3c2-e4da2fc1df9a,https://shopee.sg/HSC-Sparkling-Oldenlandia-Water-325ml-x-24-cans-i.260411120.25341097196?sp_atk=cc892b2e-0548-4746-b3c2-e4da2fc1df9a&xptdk=cc892b2e-0548-4746-b3c2-e4da2fc1df9a,
72,https://shopee.sg/Pokka-Jasmine-Green-Tea-(6S-X-4-X-250Ml)-i.91799978.4700000056,--,
100,--,--,
73,https://shopee.sg/Pokka-Jasmine-Green-Tea-(24-x-300ml)-Carton-i.91799978.4472231787,--,
102,--,--,
74,https://shopee.sg/Pokka-Jasmine-Green-Tea-(24-x-500ml)-Carton-i.91799978.8406286862,--,
98,--,--,
75,https://shopee.sg/Pokka-Jasmine-Green-Tea-(12-x-1.5L)-Case-i.91799978.5284178090,--,
94,--,--,
95,--,--,
92,--,--,
93,--,--,
96,--,--,
97,--,--,
76,--,--,
77,https://shopee.sg/Pokka-Ice-Lemon-Tea-(24-x-300Ml)-Carton-i.91799978.9715844766,--,
78,https://shopee.sg/Pokka-Ice-Lemon-Tea-(24-x-500Ml)-Carton-i.91799978.9215852160,--,
79,https://shopee.sg/Pokka-Ice-Lemon-Tea-(12-x-1.5L)-Case-i.91799978.8835401338,--,
85,--,--,
80,https://shopee.sg/Pokka-Oolong-Tea-No-Sugar-(6S-X-4-X-250Ml)-i.91799978.4700000054,--,
81,https://shopee.sg/Pokka-Oolong-Tea-No-Sugar-(24-x-300ml)-Carton-i.91799978.8806286812,--,
83,https://shopee.sg/Pokka-Oolong-Tea-No-Sugar-(12-x-1.5L)-Case-i.91799978.9335396048,--,
84,https://shopee.sg/Pokka-Bandung-Rose-Milk-Drink-24-x-500ml-Carton-i.91799978.4176312810,--,
